Code armoire	Code Support	Date pose support	Forme support	Nature support	Code foyer	Date Pose Foyer	Marque Luminaire	Libellé Réf Luminaire	Puissance foyer (Watt)	Secteur foyer	Code Lampe	Type Lampe	Référence	Puissance	IRC	Type	Douille	Date pose lampe	Nom Régime	Latitude	Longitude
0021-	53700006	26054	OCTO-CONIQUE	ACIER THERMOLAQUE	53700006	39092	ECLATEC	ELIPT 55	175	SECTEUR 2	53700006	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19053594	5.724576333
0021-	6170C002		FACADE	POLYESTER	61700001	29495	GIRARDIN	574GLE17	175	SECTEUR 2	61700001	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19070401	5.726321392
0021-	6170C006		FACADE	POLYESTER	61700002	29495	GIRARDIN	574GLE17	175	SECTEUR 2	61700002	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19079748	5.72606415
0021-	6170C003		FACADE	POLYESTER	61700003	29495	GIRARDIN	574GLE17	175	SECTEUR 2	61700003	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19088826	5.725807094
0021-	0880C009		FACADE	POLYESTER	61700004	29495	GIRARDIN	574GLE17	175	SECTEUR 2	61700004	SHP	TUBE	0150W	IR25	T22	E40	40674.34885	NOCTURNE	45.19092439	5.725446223
0021-	6170C001		FACADE	POLYESTER	61700005	38768	THORN	CA50	145	SECTEUR 2	61700005	BF	OVOIDE	125W	IR60	T42	E27	40674.34885	NOCTURNE	45.19058251	5.726325012
0021-	6170C001		FACADE	POLYESTER	61700006	32267	THORN	CA50	145	SECTEUR 2	61700006	BF	OVOIDE	125W	IR60	T42	E27	40674.34885	NOCTURNE	45.19055218	5.726411194
0021-	6170C001		FACADE	POLYESTER	61700007	32267	THORN	CA50	145	SECTEUR 2	61700007	BF	OVOIDE	125W	IR60	T42	E27	40674.34885	NOCTURNE	45.19052007	5.72650085
0022-	0040C006		FACADE	POLYESTER	00400001	26238	CLAREL	RUM	175	SECTEUR 2	00400001	SHP	OVOIDE	150W	IR25	T20	E40	41221.62841	NOCTURNE	45.19049605	5.732904966
0022-	0040C006		FACADE	POLYESTER	00400002	26238	CLAREL	RUM	175	SECTEUR 2	00400002	SHP	OVOIDE	150W	IR25	T20	E40	40778.36841	NOCTURNE	45.19041565	5.732754152
