Luminaire - Type,Luminaire - Code luminaire,Luminaire - Hauteur de feu,Luminaire - X,Luminaire - Y,Lampe - IRC,Lampe - Température Couleur,Lampe - Régime,Lampe - Régime (simplifié),Latitude,Longitude
LED,42800025,4,913850.43,6456816.25,70,3000,CREM NOCTURNE AVEC REDUCTION 33% flux - 33 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.17746417347995,5.723022964079187
LED,42800026,4,913827.46,6456823.52,70,3000,CREM NOCTURNE AVEC REDUCTION 33% flux - 33 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.17753672532335,5.722733902547326
LED,42800027,4,913806.84,6456830.78,70,3000,CREM NOCTURNE AVEC REDUCTION 33% flux - 33 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.17760845703224,5.722474735512043
LED,42800028,4,913782.83,6456838.42,70,3000,CREM NOCTURNE AVEC REDUCTION 33% flux - 33 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.17768465977951,5.722172602678739
CLASSIQUE,42800029,4,913886.65,6456835.86,90,2800,GRE NOCTURNE,Fonctionnement standard,45.17762939451765,5.7234924077567815
CLASSIQUE,42800030,4,913858.38,6456845.42,90,2800,GRE NOCTURNE,Fonctionnement standard,45.17772420028107,5.723136917871494
CLASSIQUE,42800031,4,913829.82,6456855.09,90,2800,GRE NOCTURNE,Fonctionnement standard,45.17782008480399,5.722777785302322
CLASSIQUE,42800032,4,913801.69,6456864.57,90,2800,GRE NOCTURNE,Fonctionnement standard,45.177914124939065,5.722424039147505
CLASSIQUE,42800033,4,913760.67,6456864.74,90,2800,GRE NOCTURNE,Fonctionnement standard,45.177928385246446,5.721902203066598
CLASSIQUE,42800034,4,913790.1,6456878.86,90,2800,GRE NOCTURNE,Fonctionnement standard,45.17804631499363,5.7222828465884525
CLASSIQUE,42800035,8,913827.12,6456892.87,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17816089755555,5.722760013849658
CLASSIQUE,42800037,4,913759.15,6456897.45,87,2900,GRE NOCTURNE,Fonctionnement standard,45.1782232077612,5.721897215341892
CLASSIQUE,4280003A,12,913983.34,6456623.12,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17568496315976,5.724629183788895
CLASSIQUE,42800040,8,913636.43,6457041.92,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17956133725553,5.720399152229836
LED,42800041,4,913863.22,6456807.71,70,3000,CREM NOCTURNE AVEC REDUCTION 33% flux - 33 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.177383353027345,5.723181945247467
LED,42800042,4,913865.31,6456790.63,70,3000,CREM NOCTURNE AVEC REDUCTION 33% flux - 33 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.17722900471999,5.723201039244143
LED,4280008A,8.5,913862,6456732.21,,3000,CREM NOCTURNE AVEC REDUCTION 50% flux - 50 % NRJ en milieu de nuit (LED),Abaissement en milieu de nuit,45.17670432273401,5.723133282110163
CLASSIQUE,4280035A,8,913828.99,6456893.65,25,2000,GRE NOCTURNE,Fonctionnement standard,45.17816733613675,5.7227841489008995
CLASSIQUE,42900001,4,913878,6455942.37,62,2715,GRE NOCTURNE,Fonctionnement standard,45.16959175291778,5.722990171710146
CLASSIQUE,42900002,4,913856.92,6455919.63,59,2815,GRE NOCTURNE,Fonctionnement standard,45.16939366442855,5.722712025316769
CLASSIQUE,42900003,4,913864.76,6455933.31,62,2715,GRE NOCTURNE,Fonctionnement standard,45.16951433409031,5.72281776420787
CLASSIQUE,42900004,4,913882.36,6455926.49,59,2815,GRE NOCTURNE,Fonctionnement standard,45.16944749874054,5.723038667765404
CLASSIQUE,42900005,4,913873.09,6455909.99,59,2815,GRE NOCTURNE,Fonctionnement standard,45.16930189665069,5.722913499413401
CLASSIQUE,42900006,4,913864.14,6455894.45,59,2815,GRE NOCTURNE,Fonctionnement standard,45.16916483392054,5.722792823815795
CLASSIQUE,42900007,4,913855.89,6455880.1,59,2815,GRE NOCTURNE,Fonctionnement standard,45.16903826232873,5.722681575903464
CLASSIQUE,42900008,4,913879.15,6455885.03,59,2815,GRE NOCTURNE,Fonctionnement standard,45.169075405846094,5.722979636793294
CLASSIQUE,42900009,4,913871.29,6455871.21,59,2815,GRE NOCTURNE,Fonctionnement standard,45.16895348272917,5.722873582519801
CLASSIQUE,42900010,4,913883.47,6455864.18,59,2815,GRE NOCTURNE,Fonctionnement standard,45.168886440175356,5.723025442404042
CLASSIQUE,42900011,12,913880.77,6455999.16,25,2000,CREM NOCTURNE,Fonctionnement standard,45.17010193376886,5.723050333864279
CLASSIQUE,42900012,12,913864,6455968.41,25,2000,CREM NOCTURNE,Fonctionnement standard,45.169830427248336,5.722823499217434
